V1	V2
PSMB4	PSMD14
PSMB4	PSMB6
PSMB4	PSMD4
PSMB4	PSMB3
PSMB4	PSME1
PRDX2	CAND1
PRDX2	FN1
CNN2	MTAP
CNN2	FN1
CNN2	ALAD
PGK1	ENO1
PGK1	ALDOA
CPT1A	NDUFA2
CPT1A	CPS1
CPT1A	ERLIN1
CPT1A	PCK1
CPT1A	CLIC1
CPT1A	ENO1
CNDP2	NANS
CNDP2	CAPN1
CNDP2	MVD
CNDP2	ECHS1
CNDP2	LDHB
CNDP2	LDHA
CYC1	DHODH
CYC1	LMAN1
AFG3L2	UQCRQ
AFG3L2	MAIP1
AFG3L2	C15orf48
AFG3L2	PHB
AFG3L2	CYC1
MRTO4	FN1
SEC63	SEC62
SEC63	HSPA5
GFPT1	FASN
GFPT1	LDHB
GFPT1	CARS
GFPT1	XPO7
GFPT1	TARS
ECHS1	DBT
YWHAQ	IQGAP1
YWHAQ	PGK1
YWHAQ	YWHAZ
YWHAQ	YWHAE
YWHAQ	TCP1
YWHAQ	PCK1
YWHAQ	CAPN1
YWHAQ	FN1
YWHAQ	LDHB
YWHAQ	KRT1
YWHAQ	RUVBL2
YWHAQ	GAPDH
YWHAQ	SPTB
YWHAQ	DDX3X
YWHAQ	CAPNS1
YWHAQ	KRT9
YWHAQ	ECHS1
VDAC3	CYC1
VDAC3	DHRS2
VDAC3	VDAC2
VDAC3	MAGT1
ENO1	ALDOA
ENO1	PPIA
ENO1	CFL1
ENO1	MIF
PSMD4	PSMD14
PSMD4	PSMB3
PSMD4	DCTN2
PSMD4	ALDOA
COQ9	MAOA
COQ9	SFXN4
COQ9	NFS1
COQ9	COX6C
COQ9	RTN4IP1
COQ9	ACSL4
COQ9	MAIP1
COQ9	TBRG4
COQ9	TIMM21
COQ9	L2HGDH
COQ9	FKBP8
COQ9	SLC16A1
COQ9	CLPX
COQ9	ABCD3
COQ9	AGK
COQ9	SLC25A11
COQ9	GNG5
COQ9	NIPSNAP1
COQ9	AFG3L2
COQ9	ECI2
COQ9	CPT1A
COQ9	CPT2
COQ9	UQCRC2
COQ9	GLRX5
COQ9	C15orf48
COQ9	TMEM205
HSPA5	RUVBL2
PAK2	ECHS1
PAK2	YWHAE
PAK2	GDI2
PAK2	BTF3
PAK2	HSPA5
OSTF1	GAPDH
OSTF1	SDCBP
XPO7	ENO1
XPO7	CARS
MAPK14	HMOX1
MAPK14	HMOX1
MAPK14	GDF15
MAPK14	GMFB
MAPK14	YWHAE
LGALS1	LMAN1
LGALS1	LASP1
LGALS1	ALDOA
LGALS1	FN1
GOLT1B	UQCRC1
GOLT1B	NDUFB8
GOLT1B	NDUFA2
GOLT1B	NDUFB7
GOLT1B	MLEC
GOLT1B	ERLIN1
GOLT1B	SEL1L
GOLT1B	ABCD3
GOLT1B	UQCRQ
GOLT1B	PHB
GOLT1B	MGST3
GOLT1B	NDUFA6
GOLT1B	VDAC2
GOLT1B	SPCS2
GOLT1B	UQCRC2
GOLT1B	STT3B
GOLT1B	LGALS1
LCN1	PECR
GSN	IQGAP1
GSN	FN1
KRT1	FN1
KRT1	KRT9
HDGF	RUVBL1
HDGF	DDX21
HDGF	ENO1
HDGF	MAPK14
HDGF	KRT1
CLIC4	EZR
CLIC4	YWHAZ
H2AFX	HSPA9
H2AFX	HIBCH
H2AFX	DDX21
H2AFX	YWHAQ
H2AFX	OTUB1
H2AFX	YWHAE
H2AFX	ALDOA
H2AFX	HSPA5
H2AFX	MATR3
H2AFX	YWHAZ
H2AFX	CPS1
H2AFX	RUVBL1
H2AFX	BTF3
H2AFX	PSMB4
H2AFX	TRAP1
H2AFX	ENO1
H2AFX	PSMB3
PSME1	PSMD14
PSME1	PSMB3
PSMB1	PSMB3
PSMB1	PSMB4
PSMB1	PSMB6
PSMB1	SERPINE1
PSMB1	PSMD4
PSMB1	PSMD14
PSMB1	PSME1
ALDH4A1	LDHA
ALDH4A1	GOT1
ALDH4A1	LDHB
ALDH4A1	ENO1
ALDH4A1	CFL1
TRAP1	ALDOA
TRAP1	VDAC2
TRAP1	ECHS1
TRAP1	CFL1
TRAP1	HSPA5
TRAP1	NANS
CAPN1	BCCIP
CAPN1	EIF2A
CAPN1	MVD
CAPN1	FN1
CAPN1	ECHS1
CAPN1	EZR
GPT	CFL1
GPT	CAPN1
SPCS2	DDX21
POLR2E	RUVBL1
POLR2E	RUVBL2
ALDOA	LMAN1
ALDOA	ECHS1
ALDOA	UMPS
ALDOA	CFL1
C15orf48	GLRX5
TBRG4	C15orf48
S100A6	GAPDH
S100A6	SEC24A
S100A6	TM9SF4
YWHAZ	YWHAE
YWHAZ	LDHA
YWHAZ	SPTBN1
YWHAZ	CPS1
YWHAZ	LDHB
YWHAZ	ENO1
YWHAZ	HSPA5
YWHAZ	PDXK
YWHAZ	RUVBL2
YWHAZ	ECHS1
YWHAZ	SORBS2
YWHAZ	TFRC
YWHAZ	DDX3X
YWHAZ	FN1
YWHAZ	TRAP1
YWHAZ	TCP1
YWHAZ	GAPDH
YWHAZ	CFL1
YWHAZ	CCT4
YWHAZ	MVP
YWHAZ	ENO1
YWHAZ	HRNR
YWHAZ	FASN
YWHAZ	CAPNS1
YWHAZ	PAK2
YWHAZ	PPIA
YWHAZ	ALDOA
YWHAZ	PSMB3
YWHAZ	IQGAP1
YWHAZ	EZR
YWHAZ	LGALS1
YWHAZ	DCD
YWHAZ	PGK1
YWHAZ	NOLC1
YWHAZ	RUVBL1
YWHAZ	S100A6
PCK1	FASN
LDHA	PGK1
LDHA	FN1
LDHA	FAH
LDHA	ALDOA
LDHA	BCCIP
LDHA	MIF
LDHA	LDHB
LDHA	ACADM
LDHA	ENO1
LDHA	PCK1
FN1	GLUD1
FN1	MIF
FN1	MACF1
FN1	MATR3
FN1	PPIA
FN1	PGK1
FN1	LASP1
FN1	TTLL12
FN1	NDUFA2
FN1	GAPDH
FN1	GLRX3
FN1	YWHAE
FN1	HSPA5
FN1	TIAL1
FN1	DDX21
FN1	ALDOA
FN1	TRAP1
FN1	TARS
FN1	TUFM
FN1	CLIC1
RUVBL2	RUVBL1
RUVBL2	YWHAE
UQCRC1	LMAN1
UQCRC1	RUVBL2
CAPNS1	FN1
CAPNS1	PAFAH1B1
CAPNS1	YWHAE
CAPNS1	GAPDH
CAPNS1	RUVBL1
CAPNS1	CAPN1
CAPNS1	PAK2
MYO1E	IQGAP1
MYO1E	GAPDH
MYO1E	ENO1
MYO1E	CAPNS1
