V1	V2
RPL23A	ILF3
RPL23A	ILF3
RPL23A	NAP1L1
RPL23A	GRB2
RPL23A	EIF3D
RPL23A	RPL38
LDHB	FN1
LDHB	ACADM
LDHB	STAU1
LDHB	PEPD
ATXN10	STOM
PUF60	STOM
PUF60	FAM129B
BCL2L1	CRYAB
KYNU	GDA
KYNU	PEPD
KYNU	ASNS
FLNA	IQGAP1
FLNA	SORBS2
FLNA	MAPK14
FLNA	DSG2
FLNA	FN1
FLNA	TPM2
FLNA	TPM1
FLNA	BANF1
FLNA	ANXA2
FLNA	GRB2
FLNA	DBN1
FLNA	S100A10
FLNA	CAV1
FLNA	TPM4
FLNA	ARPC1B
SUB1	BANF1
SUB1	EIF1AX
SUB1	CHD4
SP100	MX1
PML	COLGALT1
PML	CHD4
PML	JAK1
PML	MAPK14
PML	SQSTM1
PML	SP100
LGALS1	DBN1
LGALS1	PCBP2
LGALS1	ALDOA
LGALS1	FN1
OGT	ALAD
OGT	DYNLT1
OGA	TPM1
OGA	LACTB2
OGA	OGT
PSAT1	KYNU
PSAT1	TAGLN2
PHGDH	VTN
PHGDH	GRB2
PHGDH	LDHB
PHGDH	ASNS
PHGDH	MYL6
PHGDH	PSAT1
PPIA	CHMP4A
PPIA	FN1
PPIA	PTMA
PPIA	TAGLN2
PPIA	LDHB
PPIA	GRB2
VTI1B	STX12
DNAJC1	HSPA8
TRAF1	BAG2
TRAF1	SQSTM1
TRAF1	CDK18
TRAF1	HSPA8
FN1	DBN1
FN1	ALDOA
FN1	PCMT1
FN1	AFDN
FN1	NAPA
FN1	ANXA2
FN1	STOM
FN1	QKI
FN1	APCS
FN1	PI4KA
FN1	DDX21
FN1	DDX3X
FN1	NCL
FN1	AARS
FN1	TAGLN2
FN1	ATXN10
PCNA	FBH1
PCNA	PTMA
PCNA	NUTF2
PCNA	ALDOA
PCNA	DDX17
PCNA	PPIA
PCNA	KRT7
PCNA	SUB1
PCNA	FN1
PTMA	NUTF2
PTMA	NSFL1C
PTMA	ASNS
PTMA	KPNB1
PTMA	NCL
ARPC1B	AARS
ARPC1B	DBN1
LIMA1	LGALS1
LIMA1	ANXA2
LIMA1	STOM
LIMA1	CAV1
LIMA1	INF2
LIMA1	IQGAP1
LIMA1	DSG2
LIMA1	GRB2
LIMA1	AFDN
LIMA1	DBN1
LIMA1	SORBS2
LIMA1	FLNA
LIMA1	ARPC1B
DBN1	CHMP4B
DBN1	CPM
DBN1	CAV1
DBN1	ANXA2
DBN1	AFDN
DBN1	TPM1
DBN1	TPM4
NUDT21	STAU1
NUDT21	VIM
NUDT21	NGEF
NUDT21	MYL6
NUDT21	DBN1
GRB2	CFH
GRB2	CKAP5
GRB2	CAST
GRB2	ANXA2
GRB2	ACTC1
GRB2	APCS
GRB2	VIM
GRB2	RPL35A
GRB2	NCL
GRB2	AFDN
GRB2	IQGAP1
GRB2	HSPA8
GRB2	H1F0
GRB2	MYLK
GRB2	SNX3
GRB2	TPM1
GRB2	DBN1
GRB2	FN1
GRB2	MYL6
GRB2	ARPC5
GRB2	DDX17
GRB2	PCMT1
DDX5	FN1
DDX5	STAU1
DDX5	SF3B3
DDX5	DDX3X
DDX5	SNRPA1
DDX5	DDX17
DDX5	NDRG1
DDX5	GRB2
NDRG1	PEPD
NDRG1	SPAG9
NDRG1	NCL
G6PD	FN1
G6PD	LDHB
G6PD	GBP2
G6PD	ZNF622
G6PD	NDRG1
DDX47	POLR1C
GNMT	SDCBP
NUCB1	GNAS
OTULIN	ELAVL1
PROS1	C4BPA
TMED1	SEC23B
TMED1	SMAD3
SLC16A1	NDUFA4
INHBE	ELAVL1
COTL1	ELAVL1
CCDC50	MYH9
LRRC47	ELAVL1
TGFBI	FN1
NAE1	CAPN2
LRP1	SERPINE1
LRP1	CAV1
CPOX	ELAVL1
BCAP29	ELAVL1
SDF4	SMC3
SDF4	YWHAZ
RIDA	HPD
PLIN2	ABHD5
BST2	TFRC
DNAJB2	HSPA8
ABAT	ALDH5A1
SARS	HARS
SARS	HSPB1
PYCARD	EXOC5
PYCARD	TPM4
